AISC_Manual_Label,W,A,Ix (in^4),Sx
C3X3.5,3.50,1.09,1.57,1.04
MC18X58,58.00,17.10,675.00,75.00
MC18X51.9,51.90,15.30,627.00,69.60
MC18X45.8,45.80,13.50,578.00,64.20
MC18X42.7,42.70,12.60,554.00,61.50
MC13X50,50.00,14.70,314.00,48.30
MC13X40,40.00,11.70,273.00,41.90
MC13X35,35.00,10.30,252.00,38.80
MC13X31.8,31.80,9.35,239.00,36.70
MC12X50,50.00,14.70,269.00,44.90
MC12X45,45.00,13.20,251.00,41.90
MC12X40,40.00,11.80,234.00,39.00
MC12X35,35.00,10.30,216.00,36.00
MC12X31,31.00,9.12,202.00,33.70
MC12X14.3,14.30,4.18,76.10,12.70
MC12X10.6,10.60,3.10,55.30,9.22
MC10X41.1,41.10,12.10,157.00,31.50
MC10X33.6,33.60,9.87,139.00,27.80
MC10X28.5,28.50,8.37,126.00,25.30
MC10X25,25.00,7.34,110.00,22.00
MC10X22,22.00,6.45,102.00,20.50
MC10X8.4,8.40,2.46,31.90,6.39
MC10X6.5,6.50,1.95,22.90,4.59
MC9X25.4,25.40,7.47,87.90,19.50
MC9X23.9,23.90,7.02,84.90,18.90
MC8X22.8,22.80,6.70,63.80,15.90
MC8X21.4,21.40,6.28,61.50,15.40
MC8X20,20.00,5.87,54.40,13.60
MC8X18.7,18.70,5.50,52.40,13.10
MC8X8.5,8.50,2.50,23.30,5.82
MC7X22.7,22.70,6.67,47.40,13.50
MC7X19.1,19.10,5.61,43.10,12.30
MC6X18,18.00,5.29,29.70,9.89
MC6X15.3,15.30,4.49,25.30,8.44
MC6X16.3,16.30,4.79,26.00,8.66
MC6X15.1,15.10,4.44,24.90,8.30
MC6X12,12.00,3.53,18.70,6.24
MC6X7,7.00,2.09,11.40,3.81
MC6X6.5,6.50,1.95,11.00,3.66
MC4X13.8,13.80,4.03,8.85,4.43
MC3X7.1,7.10,2.11,2.72,1.81
L8X8X1-1/8,56.90,16.80,98.10,17.50
L8X8X1,51.00,15.10,89.10,15.80
L8X8X7/8,45.00,13.30,79.70,14.00
L8X8X3/4,38.90,11.50,69.90,12.20
L8X8X5/8,32.70,9.69,59.60,10.30
L8X8X9/16,29.60,8.77,54.20,9.33
L8X8X1/2,26.40,7.84,48.80,8.36
L8X6X1,44.20,13.10,80.90,15.10
L8X6X7/8,39.10,11.50,72.40,13.40
L8X6X3/4,33.80,9.99,63.50,11.70
L8X6X5/8,28.50,8.41,54.20,9.86
L8X6X9/16,25.70,7.61,49.40,8.94
L8X6X1/2,23.00,6.80,44.40,8.01
L8X6X7/16,20.20,5.99,39.30,7.06
L8X4X1,37.40,11.10,69.70,14.00
L8X4X7/8,33.10,9.79,62.60,12.50
L8X4X3/4,28.70,8.49,55.00,10.90
L8X4X5/8,24.20,7.16,47.00,9.20
L8X4X9/16,21.90,6.49,42.90,8.34
L8X4X1/2,19.60,5.80,38.60,7.48
L8X4X7/16,17.20,5.11,34.20,6.59
L7X4X3/4,26.20,7.74,37.80,8.39
L7X4X5/8,22.10,6.50,32.40,7.12
L7X4X1/2,17.90,5.26,26.60,5.79
L7X4X7/16,15.70,4.63,23.60,5.11
L7X4X3/8,13.60,4.00,20.50,4.42
L6X6X1,37.40,11.00,35.40,8.55
L6X6X7/8,33.10,9.75,31.90,7.61
L6X6X3/4,28.70,8.46,28.10,6.64
L6X6X5/8,24.20,7.13,24.10,5.64
L6X6X9/16,21.90,6.45,22.00,5.12
L6X6X1/2,19.60,5.77,19.90,4.59
L6X6X7/16,17.20,5.08,17.60,4.06
L6X6X3/8,14.90,4.38,15.40,3.51
L6X6X5/16,12.40,3.67,13.00,2.95
L6X4X7/8,27.20,8.00,27.70,7.13
L6X4X3/4,23.60,6.94,24.50,6.23
L6X4X5/8,20.00,5.86,21.00,5.29
L6X4X9/16,18.10,5.31,19.20,4.81
L6X4X1/2,16.20,4.75,17.30,4.31
L6X4X7/16,14.30,4.18,15.40,3.81
L6X4X3/8,12.30,3.61,13.40,3.30
L6X4X5/16,10.30,3.03,11.40,2.77
L6X3-1/2X1/2,15.30,4.50,16.60,4.23
L6X3-1/2X3/8,11.70,3.44,12.90,3.23
L6X3-1/2X5/16,9.80,2.89,10.90,2.72
L5X5X7/8,27.20,8.00,17.80,5.16
L5X5X3/4,23.60,6.98,15.70,4.52
L5X5X5/8,20.00,5.90,13.60,3.85
L5X5X1/2,16.20,4.79,11.30,3.15
L5X5X7/16,14.30,4.22,10.00,2.78
L5X5X3/8,12.30,3.65,8.76,2.41
L5X5X5/16,10.30,3.07,7.44,2.04
L5X3-1/2X3/4,19.80,5.85,13.90,4.26
L5X3-1/2X5/8,16.80,4.93,12.00,3.63
L5X3-1/2X1/2,13.60,4.00,10.00,2.97
L5X3-1/2X3/8,10.40,3.05,7.75,2.28
L5X3-1/2X5/16,8.70,2.56,6.58,1.92
L5X3-1/2X1/4,7.00,2.07,5.36,1.55
L5X3X1/2,12.80,3.75,9.43,2.89
L5X3X7/16,11.30,3.31,8.41,2.56
L5X3X3/8,9.80,2.86,7.35,2.22
L5X3X5/16,8.20,2.41,6.24,1.87
L5X3X1/4,6.60,1.94,5.09,1.51
L4X4X3/4,18.50,5.44,7.62,2.79
L4X4X5/8,15.70,4.61,6.62,2.38
L4X4X1/2,12.80,3.75,5.52,1.96
L4X4X7/16,11.30,3.30,4.93,1.73
L4X4X3/8,9.80,2.86,4.32,1.50
L4X4X5/16,8.20,2.40,3.67,1.27
L4X4X1/4,6.60,1.93,3.00,1.03
L4X3-1/2X1/2,11.90,3.50,5.30,1.92
L4X3-1/2X3/8,9.10,2.68,4.15,1.48
L4X3-1/2X5/16,7.70,2.25,3.53,1.25
L4X3-1/2X1/4,6.20,1.82,2.89,1.01
L4X3X5/8,13.60,3.99,6.01,2.28
L4X3X1/2,11.10,3.25,5.02,1.87
L4X3X3/8,8.50,2.49,3.94,1.44
L4X3X5/16,7.20,2.09,3.36,1.22
L4X3X1/4,5.80,1.69,2.75,0.99
L3-1/2X3-1/2X1/2,11.10,3.25,3.63,1.48
L3-1/2X3-1/2X7/16,9.80,2.89,3.25,1.32
L3-1/2X3-1/2X3/8,8.50,2.50,2.86,1.15
L3-1/2X3-1/2X5/16,7.20,2.10,2.44,0.97
L3-1/2X3-1/2X1/4,5.80,1.70,2.00,0.79
L3-1/2X3X1/2,10.20,3.02,3.45,1.45
L3-1/2X3X7/16,9.10,2.67,3.10,1.29
L3-1/2X3X3/8,7.90,2.32,2.73,1.12
L3-1/2X3X5/16,6.60,1.95,2.33,0.95
L3-1/2X3X1/4,5.40,1.58,1.92,0.77
L3-1/2X2-1/2X1/2,9.40,2.77,3.24,1.41
L3-1/2X2-1/2X3/8,7.20,2.12,2.56,1.09
L3-1/2X2-1/2X5/16,6.10,1.79,2.20,0.93
L3-1/2X2-1/2X1/4,4.90,1.45,1.81,0.75
L3X3X1/2,9.40,2.76,2.20,1.06
L3X3X7/16,8.30,2.43,1.98,0.95
L3X3X3/8,7.20,2.11,1.75,0.83
L3X3X5/16,6.10,1.78,1.50,0.70
L3X3X1/4,4.90,1.44,1.23,0.57
L3X3X3/16,3.71,1.09,0.95,0.43
L3X2-1/2X1/2,8.50,2.50,2.07,1.03
L3X2-1/2X7/16,7.60,2.22,1.87,0.92
L3X2-1/2X3/8,6.60,1.93,1.65,0.80
L3X2-1/2X5/16,5.60,1.63,1.41,0.68
L3X2-1/2X1/4,4.50,1.32,1.16,0.56
L3X2-1/2X3/16,3.39,1.00,0.90,0.42
L3X2X1/2,7.70,2.26,1.92,1.00
L3X2X3/8,5.90,1.75,1.54,0.78
L3X2X5/16,5.00,1.48,1.32,0.66
L3X2X1/4,4.10,1.20,1.09,0.54
L3X2X3/16,3.07,0.92,0.85,0.41
L2-1/2X2-1/2X1/2,7.70,2.26,1.22,0.72
L2-1/2X2-1/2X3/8,5.90,1.73,0.97,0.56
L2-1/2X2-1/2X5/16,5.00,1.46,0.84,0.47
